Date,VOO,SPY,QQQ
2021-04-01,1.1152272544700967,1.1148299787908615,1.0866060202492405
2021-04-05,1.1313120238207788,1.1308310442205787,1.10830023935617
2021-04-06,1.1306760819745223,1.1301632519692473,1.1075301789033265
2021-04-07,1.132099746945673,1.131471260431204,1.1102083258730342
2021-04-08,1.1376127232581223,1.1368422594415406,1.1217917867009213
2021-04-09,1.1457917406904685,1.1451069344610654,1.1285879141148947
2021-04-12,1.1463065930511016,1.145524462841332,1.1271151065530334
2021-04-13,1.149426695070227,1.1489194803118838,1.1402719774129608
2021-04-14,1.1457311466039384,1.1449958165790064,1.1265793301408682
2021-04-15,1.1580295750459737,1.1572957252797083,1.143653186530737
2021-04-16,1.162088885406319,1.161164146517925,1.1449924175351163
2021-04-19,1.1563636324161388,1.1554591609686744,1.1345136936448965
2021-04-20,1.1478816445511408,1.146999374159497,1.1262445486430277
2021-04-21,1.1586657142671046,1.157852399648981,1.1358862137756291
2021-04-22,1.1480331297674669,1.1472777565507575,1.1221935665035365
2021-04-23,1.1602713588727211,1.159716630413969,1.1363219127826996
2021-04-26,1.1627854213391058,1.1621378067879744,1.1437200798224951
2021-04-27,1.1624218568199238,1.161887362090413,1.1387652506466446
2021-04-28,1.1618766087285881,1.1615534659647473,1.1349154734475118
2021-04-29,1.169631467555222,1.1689558698360256,1.1389999547393903
2021-04-30,1.1619070044592905,1.1612752643999833,1.1315340543037018
2021-05-03,1.1645424524736105,1.1637800730285897,1.1255079873425717
2021-05-04,1.1574541285988103,1.1565999953346773,1.1052537067232175
2021-05-05,1.157666109214229,1.1569621003937867,1.1015374010685501
2021-05-06,1.1670868119832605,1.1662009781628506,1.1098402552488402
2021-05-07,1.175417215944495,1.1746887026657271,1.1188459615511648
2021-05-10,1.163906411939917,1.163056314976612,1.0905901090969738
2021-05-11,1.1536979860459913,1.1526762411885518,1.0890834873436743
2021-05-12,1.1290705360563436,1.1281875416692067,1.060894738207275
2021-05-13,1.1424898564117525,1.14173994509746,1.0690971999434196
2021-05-14,1.160028686464288,1.1592717068194922,1.0926990855151457
2021-05-17,1.157242246670829,1.1563219745964095,1.0860705588761261
2021-05-18,1.1472456040174475,1.1463593387753677,1.0787386550499873
2021-05-19,1.1442163931281177,1.1433537311648867,1.079977493610221
2021-05-20,1.156424127815232,1.1556539111053334,1.1008681531119198
2021-05-21,1.155545710935417,1.1547078268759898,1.0947748778199808
2021-05-24,1.1672079014688839,1.1664794509673593,1.113187755188195
2021-05-25,1.164754531776467,1.163891010084152,1.1147281911329325
2021-05-26,1.166874930055279,1.1662009781628506,1.1186116775104864
2021-05-27,1.1673898811033494,1.166813347093025,1.1144269087874794
2021-05-28,1.16966166591105,1.168900536928117,1.1179417994757546
2021-06-01,1.1687528533005322,1.1678708204441723,1.1142258088601378
2021-06-02,1.1707218650504558,1.1697073847552062,1.1164016785700677
2021-06-03,1.166268890502538,1.1653659214023175,1.1047847185897934
2021-06-04,1.1768408809156456,1.1760241967551417,1.123532692494899
2021-06-07,1.1758411771753325,1.1748833623891384,1.1268809275253722
2021-06-08,1.1760230581223607,1.1751337166734515,1.127416178872453
2021-06-09,1.1741752345454977,1.173380603790522,1.1276840670785355
2021-06-10,1.1795976157904633,1.1788350542289627,1.1394351286813766
2021-06-11,1.1816574199827452,1.1807829172485518,1.1424146630095544
2021-06-14,1.1846260367855446,1.183426691039668,1.1533623750331983
2021-06-15,1.182141975300113,1.181256049776472,1.145829371279718
2021-06-16,1.175659296228304,1.1746607649720278,1.1416448125827448
2021-06-17,1.1752354336849036,1.1742710838722121,1.1561407044210177
2021-06-18,1.1596351209641522,1.15842950741235,1.1470681048269349
2021-06-21,1.1758715729060347,1.1750137382930672,1.154197228517462
2021-06-22,1.1821115795694104,1.1812956507791912,1.1649560221237234
2021-06-23,1.1808393998145854,1.1798715517065237,1.1655257177403435
2021-06-24,1.1875945549009064,1.1868517257086282,1.1727322360243173
2021-06-25,1.1919869353622938,1.191067605059743,1.1712908273545057
2021-06-28,1.194470898160288,1.1934686192793964,1.1855355280563813
2021-06-29,1.1949966061390291,1.194110643754986,1.1898257298483443
2021-06-30,1.1960907537568823,1.1951158582486638,1.187948937210513
2021-07-01,1.202838408597965,1.2017326614061838,1.188418030356954
2021-07-02,1.2119871287896715,1.2109181953587997,1.2020596413028388
2021-07-06,1.2097077450492952,1.2087124737552954,1.207254950287364
2021-07-07,1.2138714667183523,1.2129842284938086,1.2098021460250115
2021-07-08,1.2042062164795782,1.2031006138517086,1.202495340309909
2021-07-09,1.2169110397886034,1.215943725347699,1.2100033509653698
2021-07-12,1.2213182233655926,1.2202992027540611,1.2147293567774202
2021-07-13,1.217184897427238,1.2161390179638478,1.2147293567774202
2021-07-14,1.2188562678661268,1.2179537022688132,1.2169076417867384
2021-07-15,1.214935514667815,1.2137937887183445,1.2083610523942503
2021-07-16,1.2054827384816462,1.2042731832678362,1.1985738392202412
2021-07-19,1.187458464924807,1.1864886261037888,1.1887534419328953
2021-07-20,1.2042364148354059,1.2034916511502478,1.2025623386146835
2021-07-21,1.2143577984095926,1.2132354869106041,1.21184643442478
2021-07-22,1.2169413368318687,1.2157760991855044,1.2198570373790691
2021-07-23,1.2290994317379982,1.2282839583571057,1.2341020531199953
2021-07-26,1.2322300933129195,1.231299240185146,1.2350741586173324
2021-07-27,1.2267589604739049,1.2256875611080553,1.221466046823835
2021-07-28,1.2260903530858869,1.2251849538612165,1.226158448470481
2021-07-29,1.2313789141658116,1.2302663592375138,1.22833704851885
2021-07-30,1.2253609542364639,1.2242915805555834,1.2219355600223434
2021-08-02,1.2228684056314207,1.221722668933991,1.222035742440455
2021-08-03,1.2327466233599873,1.2316621589634893,1.2294431506257366
2021-08-04,1.2268502463534496,1.2256038384402064,1.2312194458064056
2021-08-05,1.2345096744281703,1.2333651829069066,1.2390291588593871
2021-08-06,1.2366371782024712,1.235403459174713,1.2335990407690993
2021-08-09,1.235451942079948,1.2343984255075318,1.2358783483006643
2021-08-10,1.2370020256583387,1.2359338232887545,1.229543543069882
2021-08-11,1.2399807085797474,1.2390049805041927,1.2274320463393047
2021-08-12,1.2435978005333461,1.2427181621952208,1.2318562447408175
2021-08-13,1.2460594599705,1.2449796687728751,1.236180050698185
2021-08-16,1.2490384389542208,1.2479112279330662,1.2367164571884517
2021-08-17,1.2408012946212779,1.2397309988873764,1.22582335193359
2021-08-18,1.2274581609675,1.226161959421451,1.214025139486166
2021-08-19,1.2291905202426683,1.2280607280472582,1.2198908515705074
2021-08-20,1.2389168580051595,1.2378325015013136,1.232526647840634
2021-08-23,1.249889420726454,1.248721149810595,1.250961262903344
2021-08-24,1.2518652419095544,1.2507033698645067,1.2547820565098153
2021-08-25,1.2541748240057584,1.253327614394008,1.256223465179627
2021-08-26,1.24684994634364,1.2459290982924032,1.2482463613777253
2021-08-27,1.2579135975696045,1.257068733778735,1.2603794603360068
2021-08-30,1.2636884903407695,1.2625967806012246,1.274523768593737
2021-08-31,1.261530590835766,1.2607261304956128,1.273484769804642
2021-09-01,1.2628679042992392,1.2613960926649013,1.2755964765612533
2021-09-02,1.2666367775314757,1.2652773525843648,1.2749931767792289
2021-09-03,1.2661505445276728,1.2649700379536748,1.2789144678428626
2021-09-07,1.2614697006869235,1.2604472056248628,1.2807245772149698
2021-09-08,1.2602539701462605,1.258911355777399,1.2762666696350358
2021-09-09,1.2546003642355936,1.2535231782499012,1.2718758653728934
2021-09-10,1.2449046195786795,1.2436396540210495,1.262222858834468
2021-09-13,1.2478226097261207,1.246822471598036,1.2613515658333438
2021-09-14,1.2413484177739234,1.2400937368392233,1.2577652662935843
2021-09-15,1.2517132632560422,1.2504518402079667,1.2671162553954385
2021-09-16,1.2495546729389773,1.2484697105673035,1.2679880734616469
2021-09-17,1.237305884277927,1.23630831496287,1.2529720521507253
2021-09-20,1.2170936115476936,1.2156938231296275,1.2270818279279818
2021-09-21,1.2159080793628583,1.214545394050774,1.2285917050848048
2021-09-22,1.2276405353517152,1.2263930556838942,1.2400671075183134
2021-09-23,1.242472961122479,1.2412938822960573,1.2515093258384853
2021-09-24,1.2445397721228122,1.2433386683177352,1.2526834763803156
2021-09-27,1.2410139660487582,1.23978153989313,1.2426842419252087
2021-09-28,1.2162120366698832,1.2147975566000515,1.2075196881029397
2021-09-29,1.218127165079016,1.2168423426217292,1.205539667669507
2021-09-30,1.2026969895002486,1.2019694537032652,1.2011107436822341
2021-10-01,1.2170902561748234,1.2162540236155808,1.2085596320091867
2021-10-04,1.2021175955555912,1.2005690429016307,1.1831926876495986
2021-10-05,1.2137969577031562,1.2130608989282976,1.1991647474662732
2021-10-06,1.2191944697139108,1.218102432062131,1.2068482348729546
2021-10-07,1.229684450866584,1.2286338576277065,1.2179215424647971
2021-10-08,1.2273667764005176,1.226393055683894,1.2118480096200335
2021-10-11,1.2184322079478518,1.217514384295727,1.2025536225342823
2021-10-12,1.2159924571217886,1.2145173659438266,1.1983592976267383
2021-10-13,1.2198959400185647,1.2188869478169109,1.2079557021490608
2021-10-14,1.2403878929462362,1.239389236809116,1.2302023947378404
2021-10-15,1.250054426121696,1.2488279278567398,1.2379531954883474
2021-10-18,1.2538663270766153,1.252525377642578,1.2504018585623788
2021-10-19,1.263624738256244,1.2621884743722764,1.2598641614621349
2021-10-20,1.2685342408893236,1.2671460135985162,1.2582200776697283
2021-10-21,1.2716443754772768,1.270451069887092,1.2659039851284772
2021-10-22,1.2703640046651523,1.2691344721665547,1.2552673216608572
2021-10-25,1.2769506016084866,1.2759407814923378,1.268118499628622
2021-10-26,1.2781703783340808,1.277089120157943,1.2721116195958078
2021-10-27,1.2726204929200642,1.2714313303242617,1.2750645856307126
2021-10-28,1.2850621168336882,1.2836990519085985,1.2892245408279592
2021-10-29,1.287349296881615,1.286303857589733,1.2955658568657886
2021-11-01,1.2900632014086246,1.2885166314265981,1.299995305918146
2021-11-02,1.295064187296124,1.2937264236153636,1.305430884685312
2021-11-03,1.302870955714802,1.3016246537398644,1.319288927459004
2021-11-04,1.3089698393427733,1.3077585597386567,1.3362003287117463
2021-11-05,1.313421925703755,1.3122962198401764,1.3374755017758235
2021-11-08,1.3150073393847155,1.313416439985586,1.3356636071824293
2021-11-09,1.3104032743702212,1.3090749766326977,1.3264697175538402
2021-11-10,1.2998521070063935,1.2985438223068668,1.3069746810465899
2021-11-11,1.300278930172914,1.2989639726713316,1.3105982602073447
2021-11-12,1.3099455620358114,1.308766938696022,1.324388989637211
2021-11-15,1.3105555490860457,1.3092151171674342,1.3240871822266735
2021-11-16,1.315556633660982,1.314396700422756,1.333515985974042
2021-11-17,1.3123851154869997,1.311203666148721,1.3342207283303809
2021-11-18,1.3169286851024007,1.3156571515161504,1.3480450619256514
2021-11-19,1.3144586372330722,1.3133044179710451,1.355561053570396
2021-11-22,1.3109822735651286,1.3096073298381998,1.3398243279245685
2021-11-23,1.3126902570432726,1.311343716270209,1.3337174009404342
2021-11-24,1.3159226653660974,1.3148450597206645,1.3380124333311743
2021-11-26,1.2872882093578977,1.2855196130746975,1.3126451739325355
2021-11-29,1.3028401652343498,1.3012887685227377,1.3411330001410333
2021-11-30,1.2778960272582593,1.2759685383595398,1.321436548667391
2021-12-01,1.2631976190274112,1.26179626170151,1.2989550469728484
2021-12-02,1.2824701899792377,1.2811222743344106,1.3083165373763914
2021-12-03,1.2711263651186484,1.2699747728954838,1.2855668324367155
2021-12-06,1.286312387977422,1.2850156496291352,1.2958680843283938
2021-12-07,1.3127510485046776,1.3115958788194864,1.3348916564952817
2021-12-08,1.316440774412163,1.315069103749746,1.3408642718308157
2021-12-09,1.3074754154790451,1.3061902515350825,1.3211347412568535
2021-12-10,1.3199477311856835,1.3184860916396148,1.3354959013944583
